case_id,case_type,modeling_row_id,semantic_group_id,priority,type,language,queue,text,model,model_label,model_family,predicted_class,correct,top_10_share,k_80,normalized_entropy,top_supporting_features,top_opposing_features,text_relation,urgency_plausibility,impact_plausibility,context_relevance,contradictory_signals,overall_rating,brief_rationale,evaluator_role
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",logistic_regression,Logistic Regression,linear_baseline,low,True,0.225405650782443,648,0.661845291917959,environment could | information essential | Customer Service | optimal | hope message,system compatibility | Request | technical specifications | additionally would | currently,,,,,,,,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",linear_svm,Linear SVM,linear,low,True,0.23244608665228783,648,0.6612262665049942,environment could | optimal | information essential | Customer Service | currently use,Request | system compatibility | technical specifications | additionally would | currently,,,,,,,,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",complement_naive_bayes,Complement Naive Bayes,naive_bayes,low,True,0.16168403458061006,1049,0.7035758938510921,Customer Service | Request | information essential | currently use | aware additionally,,,,,,,,,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",knn_cosine,kNN (cosine),instance_based,low,True,0.34964301073741494,82,0.4847245582236953,Customer Service | information essential | en | [char] ical  | environment could,use | information | [char] oul | [char] uld | could,,,,,,,,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",random_forest,Random Forest,bagging_ensemble,low,True,0.14619766515370608,414,0.6572614527038588,Customer Service | [char] ils | [char] ntl | [char] hare  | [char] deta,[char] erl | [char] yste | [char] yst | [char] chi | [char] latf,,,,,,,,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",xgboost,XGBoost,gradient_boosting,low,True,0.3424600286626575,92,0.5127398573171502,Customer Service | [char] chni | share | [char] hare | [char]  on ,[char] tfo | [char]  plat | [char] atf | [char] mme | [char]  cou,,,,,,,,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",lightgbm,LightGBM,gradient_boosting,low,True,0.30957511106466,335,0.5974692000707559,Customer Service | optimal | [char]  sh | [char] hare | [char] mes,[char] tform | [char]  sys | [char] tfo | [char] plat | [char] per,,,,,,,,author
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,Request,en,Billing and Payments,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please",logistic_regression,Logistic Regression,linear_baseline,medium,True,0.2673664426396624,550,0.6409818818172491,industry would | details payment | additionally please | subscription | quickbooks,billing details | special | industry | timelines | interested understanding,,,,,,,,author
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,Request,en,Billing and Payments,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please",linear_svm,Linear SVM,linear,medium,True,0.2683603398470855,527,0.6384201336670926,industry would | details payment | additionally please | subscription | Billing and Payments,billing details | special | industry | Request | online,,,,,,,,author
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,Request,en,Billing and Payments,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please",complement_naive_bayes,Complement Naive Bayes,naive_bayes,medium,True,0.1330222776634686,737,0.6895302523100012,Billing and Payments | Request | industry would | details payment | special,[char] ste,,,,,,,,author
