review_id,language_review_group,source_row_id,version,declared_language,detected_language,language_confidence,text,manual_language,manual_assessment,review_comment,evaluator_role,author_confirmation,manual_language_name
1,confident_mismatch,26002,400,de,en,0.99999590323323,"Urgent Request for Data Analysis Infrastructure Changes Dear Customer Support, I am writing to urgently request changes to our data analysis infrastructure. These changes are necessary as recent investments have highlighted multiple service outages for our products in the past few weeks. These outages have caused significant losses and disruptions to our operational activities. Please urgently implement the required updates to prevent further outages and ensure the continuity of our services. Kindly inform me if further steps are needed or if additional information is required. I look forward to your swift response.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
2,confident_mismatch,4859,52,de,en,0.9999975564561004,"During peak hours, the SaaS application responds slowly.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
3,confident_mismatch,10468,400,de,en,0.999996753856302,"Support for Application Performance Issues Critical performance delays occurred during peak usage times for the application. Recent deployment suggests that database queries and server load balancing might be contributing factors. The deployment was rolled back, and query optimizations were implemented, but the issue persists. Please assist us in resolving this problem.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
4,confident_mismatch,12717,400,de,en,0.9999959215089314,"Support for Mathematica Encounter errors while optimizing investment models using Wolfram Mathematica, possibly due to issues with data access or software conflicts. Restarted the server and reinstalled Mathematica, but the problem persists. Need assistance to resolve.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
5,confident_mismatch,606,51,de,en,0.9999962219097128,"Connection Issues Dear Customer Support,\n\nI am experiencing intermittent connectivity problems with several devices, including a smart garage door opener, USB-C adapters, and wireless mice. These disconnections happen occasionally and significantly disrupt critical workflows during important campaigns.\n\nI suspect that the issues began after the recent firmware updates, as the devices worked flawlessly prior. I have already attempted troubleshooting by restarting the hardware and reinstalling device drivers, which temporarily resolved the problem.\n\nCould you assist with diagnostics or solutions to resolve the persistent connection issues? Any guidance on firmware rollback options or other troubleshooting steps would be appreciated.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
6,confident_mismatch,10997,400,de,en,0.999996772225194,"Issues with Project Management Tool Performance Recently, users have encountered significant performance delays while using the project management tools. These delays are believed to be due to increased server load from embedded third-party services. Although database queries have been optimized and server scaling has been implemented, the issues persist. Assistance is needed to identify and resolve the root cause of the problem.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
7,confident_mismatch,28191,400,de,en,0.9999948045760508,"Request for Customer Service Department Dear Customer Service Team, I have noticed inconsistent investment forecast results in the analysis tool. There might be errors in data entry causing algorithm issues. I have tried to review the model calibration process to check the input data. I would appreciate your support in resolving this problem. Please let me know if you need additional information to expedite the process. Thank you for your time and support. Kind regards, [Your Name]",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
8,confident_mismatch,22791,400,de,en,0.999995399834134,"Performance Issues with SaaS Project Management Application The SaaS project management application experiences performance peaks during peak usage times, showing significant performance issues with delays and timeout errors. Attempts have been made to optimize database queries and scale server resources, but the problems persist. We need support to identify the root cause and find a solution to improve performance.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
9,confident_mismatch,5193,52,de,en,0.999993982388006,Update digital tools Upgrade and optimize digital tools hardware to support the growth of our brand and enhance the implementation of our marketing strategy.,en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
10,confident_mismatch,4508,52,de,en,0.9999954986751112,Issues with Digital Tools Tools are failing to function properly,en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
11,confident_mismatch,28012,400,de,en,0.9999969657385592,"Support for Security Vulnerability A security vulnerability was identified in the IT system of the hospital, posing a risk to the integrity of medical data. We are attempting to update the software system and strengthen the firewalls.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
12,confident_mismatch,15546,400,de,en,0.9999980530543752,"Refresh Digital Growth Strategy Dear Customer Support, I am writing to request the creation and updating of our digital strategy offerings. We wish to take an offensive approach to market growth and improve customer satisfaction metrics. Our current strategy has been in place for some time, and we believe it is important to reassess and revamp our approaches to remain competitive in the market. We are eager to explore new innovative paths and enhance customer interaction. The update should include the optimization of our website, social media presence, and content marketing efforts. We are grateful for your support and look forward to discussing the implementation of these measures to boost customer satisfaction metrics.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
13,confident_mismatch,857,51,de,en,0.9999963793552898,"Image Distortion on Projectors Across Various Devices Dear Support Team,\n\nI am reaching out to request assistance regarding an issue encountered during a recent client presentation. We experienced significant image distortion when projecting from multiple devices using different cables. Despite attempting several troubleshooting steps, the problem persisted, although we managed to carry out the presentation without major issues.\n\nTo provide further details: the distortion was consistently observed across various devices, including laptops and tablets, with the problem originating from a single source. We also tried changing cables, including HDMI ones.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
14,confident_mismatch,11351,400,de,en,0.9999982940055434,"Data Analytics Investment Details Could you provide more details on Data Processing Solutions, Optimization Investments to greatly support decision-making? I would greatly appreciate your support and look forward to hearing back soon. Thank you.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
15,confident_mismatch,20265,400,de,en,0.9999945436173412,"Issues with Financial Optimization Tools Dear Customer Service, I am writing to report an issue with our financial optimization tools provided by the financial corporation. The tools have been affecting productivity and it is suspected that the problem may have arisen due to the latest software updates. Our team has attempted to resolve the issue by restarting the affected systems and checking configurations, but unfortunately, we have not achieved success. We appreciate your prompt attention to this matter and hope to offer a solution soon. This malfunctioning tool is causing significant delays and impairing our ability to meet our tax obligations. Please keep us informed.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
16,confident_mismatch,1578,52,de,en,0.9999968574610066,"Issue with System Update Today An incident occurred affecting multiple products, likely due to recent system updates. The initial troubleshooting involved reverting recent changes and monitoring system logs. It appears the problem originated with the latest update. We are currently investigating the cause and working towards a solution. Please keep us informed if you have any questions or concerns in the meantime.",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
17,confident_mismatch,11212,400,de,en,0.8571388500329794,Support for Investment Optimization Model Investment optimization model generates inconsistent results.,en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
18,confident_mismatch,10440,400,de,en,0.9999967273689444,"Issue with QuickBooks Online Investment Data An issue has occurred with QuickBooks Online, affecting the accuracy of investment data. This problem seems to be due to compatibility issues with the recent software update for Android 12. I attempted to resolve the issue by restarting the program and checking for updates, but the problem persists. Could you please assist us in resolving this issue soon?",en,detector_correct,Text is clearly English; the declared German label is inconsistent.,Author,confirmed,English
