case_id,case_type,feature_set,model,model_label,modeling_row_id,semantic_group_id,actual_class,predicted_class,direction,rank,feature_index,feature_name,feature_label,feature_group,feature_value,shap_value,abs_shap_value
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,1,15007,categorical__queue_Customer Service,Customer Service,queue,1.0,0.254716157913208,0.254716157913208
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,2,6624,text__word__optimal,optimal,text,0.12103673815727234,0.11068810522556305,0.11068810522556305
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,3,2717,text__word__devices,devices,text,0.07248659431934357,0.09826689213514328,0.09826689213514328
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,4,11676,text__char__ sh,[char]  sh,text,0.052656080573797226,0.09392614662647247,0.09392614662647247
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,5,11678,text__char__ shar,[char]  shar,text,0.0359947606921196,0.043348103761672974,0.043348103761672974
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,6,14370,text__char__share,[char] share,text,0.03627881780266762,0.0341220460832119,0.0341220460832119
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,7,13463,text__char__mes,[char] mes,text,0.03097006492316723,0.03202877938747406,0.03202877938747406
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,8,2039,text__word__could please,could please,text,0.06775957345962524,0.02051873505115509,0.02051873505115509
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,9,14540,text__char__techn,[char] techn,text,0.030317232012748718,0.019813047721982002,0.019813047721982002
case_01,unanimous_correct_low,FS5,lightgbm,LightGBM,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,10,12250,text__char__chni,[char] chni,text,0.031073465943336487,0.015937643125653267,0.015937643125653267
