case_id,case_type,modeling_row_id,semantic_group_id,priority,priority_encoded,prediction_diversity,correct_model_count,pred_FS4__logistic_regression,pred_FS4__linear_svm,pred_FS4__complement_naive_bayes,pred_FS4__knn_cosine,pred_FS4__random_forest,pred_FS4__xgboost,pred_FS4__lightgbm,record_id,source_row_id,text,text_clean,text_group_id,text_group_size,semantic_group_size,type,queue,language,text_char_count,text_word_count,sentiment_negative,sentiment_neutral,sentiment_positive,split,pred_final_model,pred_logistic_regression,pred_linear_svm,pred_complement_naive_bayes,pred_knn_cosine,pred_random_forest,pred_xgboost,pred_lightgbm,analysis_role,is_global_h2_case,is_local_case,is_faithfulness_case,is_xgboost_sensitivity_case
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,0,1,7,0,0,0,0,0,0,0,754,754,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.","system compatibility inquiry dear support team, i hope this message finds you well. i am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. this information is essential to confirm that the product will operate properly within the existing environment. could you please share the technical specifications, supported platforms, and any limitations we should be aware of? additionally, i would appreciate guidance on recommended configurations or updates needed for optimal compatibility. your prompt response would be greatly appreciated.",702559e765e2589eafa64b529d46e1af42501bd6,1,1,Request,Customer Service,en,639,91,0.13489683,0.34014264,0.52496046,holdout,0,0,0,0,0,0,0,0,local_case,False,True,False,False
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,1,1,7,1,1,1,1,1,1,1,23,23,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please","query dear customer support team, i hope this message reaches you well. i am reaching out to request detailed billing details and payment options for a quickbooks online subscription. specifically, i am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. it would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. additionally, please",cf0f7a4b1eb7b0ba89a526baba498799c4a2c259,1,1,Request,Billing and Payments,en,550,77,0.10226262,0.42297077,0.47476658,holdout,1,1,1,1,1,1,1,1,local_case,False,True,False,False
case_03,unanimous_correct_high,1,5c1adc7aa2813d400ebf30ac65484e8b7383ede9,high,2,1,7,2,2,2,2,2,2,2,2,2,"Account Disruption Dear Customer Support Team, I am writing to report a significant problem with the centralized account management portal, which currently appears to be offline. This outage is blocking access to account settings, leading to substantial inconvenience. I have attempted to log in multiple times using different browsers and devices, but the issue persists. Could you please provide an update on the outage status and an estimated time for resolution? Also, are there any alternative ways to access and manage my account during this downtime?","account disruption dear customer support team, i am writing to report a significant problem with the centralized account management portal, which currently appears to be offline. this outage is blocking access to account settings, leading to substantial inconvenience. i have attempted to log in multiple times using different browsers and devices, but the issue persists. could you please provide an update on the outage status and an estimated time for resolution? also, are there any alternative ways to access and manage my account during this downtime?",c9db87afcad683e69b23e67a4b9421fbbc7b6071,1,2,Incident,Technical Support,en,557,86,0.8380458,0.14061852,0.021335607,holdout,2,2,2,2,2,2,2,2,local_case,False,True,False,False
case_04,typical_low_to_medium,126,890270067c166c047ceda5d45e5e16ea678f5fa8,low,0,2,0,1,1,1,2,1,1,1,127,127,"Request to Return Electronic Hardware Items Dear Customer Support Team, I am reaching out to request the return of several electronic hardware products recently bought from your store. Unfortunately, these items do not meet my expectations due to minor defects and compatibility concerns identified upon inspection. The items in question include a wireless mouse, a USB-C hub, and an external hard drive. They have been used carefully during initial setup and testing, are still in excellent condition, and come with all original packaging and accessories. I would be grateful for your assistance.","request to return electronic hardware items dear customer support team, i am reaching out to request the return of several electronic hardware products recently bought from your store. unfortunately, these items do not meet my expectations due to minor defects and compatibility concerns identified upon inspection. the items in question include a wireless mouse, a usb-c hub, and an external hard drive. they have been used carefully during initial setup and testing, are still in excellent condition, and come with all original packaging and accessories. i would be grateful for your assistance.",c3bb11e86da6e586ab9d725b2312316acfc6079b,1,1,Incident,Returns and Exchanges,en,597,93,0.44529405,0.35662916,0.19807674,holdout,1,1,1,1,2,1,1,1,local_case,False,True,False,False
case_05,typical_high_to_medium,394,a290262a783ad8b4921aa46b3c337daf9f4dbeb1,high,2,2,0,0,0,0,1,0,1,0,395,395,"Anfrage Sehr geehrtes Kundendienstteam, ich hoffe, diese Nachricht erreicht Sie wohlbehalten. Ich schreibe, um detaillierte Informationen über die Produkte und Dienstleistungen zu erfragen, die Ihr Unternehmen anbietet. Kürzlich wurde ich auf Ihre Marke aufmerksam und bin daran interessiert, mehr darüber zu erfahren, um zu beurteilen, ob Ihre Angebote meinen Bedürfnissen entsprechen könnten. Könnten Sie bitte eine umfassende Übersicht über das verfügbare Produktsortiment bereitstellen? Insbesondere möchte ich mehr über die wichtigsten Eigenschaften, Spezifikationen und eventuelle Varianten innerhalb der Produktkategorie erfahren. Zudem wären Informationen zu","anfrage sehr geehrtes kundendienstteam, ich hoffe, diese nachricht erreicht sie wohlbehalten. ich schreibe, um detaillierte informationen über die produkte und dienstleistungen zu erfragen, die ihr unternehmen anbietet. kürzlich wurde ich auf ihre marke aufmerksam und bin daran interessiert, mehr darüber zu erfahren, um zu beurteilen, ob ihre angebote meinen bedürfnissen entsprechen könnten. könnten sie bitte eine umfassende übersicht über das verfügbare produktsortiment bereitstellen? insbesondere möchte ich mehr über die wichtigsten eigenschaften, spezifikationen und eventuelle varianten innerhalb der produktkategorie erfahren. zudem wären informationen zu",7663c267419fee8008e46075666d4657dc3f6618,1,1,Request,Customer Service,de,666,83,0.18508205,0.6818253,0.13309264,holdout,0,0,0,0,1,0,1,0,local_case,False,True,False,False
case_06,critical_low_to_high,8,66db6625b564da4549986df74e6db441a323c089,low,0,1,0,2,2,2,2,2,2,2,9,9,"Anfrage nach detaillierten Angaben zur Systemarchitektur der Plattform Sehr geehrtes Kundensupport-Team, ich hoffe, diese Nachricht trifft Sie wohl. Ich nehme Kontakt auf, um umfassende Informationen zur Architektur der Plattform zu erfragen. Das Verständnis der zugrunde liegenden Struktur, Komponenten und deren Zusammenhänge ist entscheidend, um eine reibungslose Integration zu gewährleisten und die Nutzung der Dienste zu optimieren. Besonders interessieren mich Details zu den Kernmodulen der Plattform, Datenströmen, Sicherheitsmaßnahmen, Skalierbarkeitsmerkmalen sowie verfügbaren APIs und Schnittstellen zur Anpassung. Zudem wären Einblicke in den Technologiestack sowie die Bereitstellungsumgebung sehr hilfreich. Der Zugriff auf diese Informationen ermöglicht es dem technischen Team, die Infrastrukturprozesse besser zu planen und zu steuern.","anfrage nach detaillierten angaben zur systemarchitektur der plattform sehr geehrtes kundensupport-team, ich hoffe, diese nachricht trifft sie wohl. ich nehme kontakt auf, um umfassende informationen zur architektur der plattform zu erfragen. das verständnis der zugrunde liegenden struktur, komponenten und deren zusammenhänge ist entscheidend, um eine reibungslose integration zu gewährleisten und die nutzung der dienste zu optimieren. besonders interessieren mich details zu den kernmodulen der plattform, datenströmen, sicherheitsmaßnahmen, skalierbarkeitsmerkmalen sowie verfügbaren apis und schnittstellen zur anpassung. zudem wären einblicke in den technologiestack sowie die bereitstellungsumgebung sehr hilfreich. der zugriff auf diese informationen ermöglicht es dem technischen team, die infrastrukturprozesse besser zu planen und zu steuern.",82d5836082c2e2c13f06f40def226af90370facf,1,1,Request,Technical Support,de,854,105,0.11660492,0.73582953,0.14756556,holdout,2,2,2,2,2,2,2,2,local_case,False,True,False,False
case_07,critical_high_to_low,3081,4b2afb7f05c9cd9fd85790fdd2db112b4abbc318,high,2,2,0,0,0,0,1,0,0,0,3082,3083,"Kundendienstanfrage Könnten Sie bitte zusätzliche Informationen zu digitalen Strategien, Markenwachstumsinstrumenten sowie der Förderung durch McAfee und Logitech bereitstellen?","kundendienstanfrage könnten sie bitte zusätzliche informationen zu digitalen strategien, markenwachstumsinstrumenten sowie der förderung durch mcafee und logitech bereitstellen?",66c7bafb8c0176f2e5b0cfc2bf0b6191fd78b6cf,1,1,Request,Customer Service,de,177,18,0.03421938,0.8836846,0.082096115,holdout,0,0,0,0,1,0,0,0,local_case,False,True,False,False
case_08,model_disagreement_1,13,de1f211d7fb1dd53f830f716d9499d66d3b65ee1,high,2,3,1,1,1,0,2,1,1,1,14,14,"Inquiry for Detailed Information on Agency Offerings Dear Customer Support Team, I hope this message reaches you well. I am writing to request detailed information about the services provided by your agency. Specifically, I am interested in understanding the variety of services available, the pricing models, and any special packages or offers that might be applicable. Additionally, I would appreciate it if you could send brochures, service contracts, and case studies highlighting your previous work and client success stories. This information will greatly help me in making an informed decision.","inquiry for detailed information on agency offerings dear customer support team, i hope this message reaches you well. i am writing to request detailed information about the services provided by your agency. specifically, i am interested in understanding the variety of services available, the pricing models, and any special packages or offers that might be applicable. additionally, i would appreciate it if you could send brochures, service contracts, and case studies highlighting your previous work and client success stories. this information will greatly help me in making an informed decision.",fbcad57a96673169cf970dcfed219114b5f42522,1,2,Request,Product Support,en,601,90,0.09858351,0.30539775,0.5960188,holdout,1,1,1,0,2,1,1,1,local_case,False,True,False,False
case_09,model_disagreement_2,59,c655267a95bf20edad8c0f0eac49d2c7984240c5,low,0,3,1,1,1,1,2,1,1,0,60,60,"Anfrage zu technischen Spezifikationen der SaaS-Lösung Sehr geehrtes Support-Team, ich hoffe, diese Nachricht erreicht Sie wohlbehalten. Derzeit prüfe ich die SaaS-Plattform im Hinblick auf eine mögliche Integration in unsere Organisation. Für eine umfassende technische Analyse benötige ich bitte detaillierte Informationen zur Architektur der Plattform. Besonders interessiere ich mich für die Hauptkomponenten, Datenströme, Sicherheitsvorkehrungen, Skalierungsmöglichkeiten und die Einhaltung relevanter Compliance-Standards, an die die Plattform gebunden ist. Ein klares Verständnis der architektonischen Strukturen wird unserem Team enorm dabei helfen, die Kompatibilität zu beurteilen und eine reibungslose Implementierung zu planen. Falls","anfrage zu technischen spezifikationen der saas-lösung sehr geehrtes support-team, ich hoffe, diese nachricht erreicht sie wohlbehalten. derzeit prüfe ich die saas-plattform im hinblick auf eine mögliche integration in unsere organisation. für eine umfassende technische analyse benötige ich bitte detaillierte informationen zur architektur der plattform. besonders interessiere ich mich für die hauptkomponenten, datenströme, sicherheitsvorkehrungen, skalierungsmöglichkeiten und die einhaltung relevanter compliance-standards, an die die plattform gebunden ist. ein klares verständnis der architektonischen strukturen wird unserem team enorm dabei helfen, die kompatibilität zu beurteilen und eine reibungslose implementierung zu planen. falls",8220601a9638ee7e5f2f2c7d21903e1bf6536c5d,1,1,Request,Customer Service,de,745,92,0.17284094,0.5702925,0.2568665,holdout,0,1,1,1,2,1,1,0,local_case,False,True,False,False
case_10,model_disagreement_3,85,818ee361847e8677f2017325b145c997fb136ec4,low,0,3,1,1,1,0,2,1,1,1,86,86,"Anfrage zu Netzwerkausrüstungsdetails Sehr geehrtes Kundenservice-Team, ich hoffe, diese Nachricht erreicht Sie wohlauf. Ich möchte um ausführliche Produktspezifikationen und Integrationsrichtlinien für die empfohlene Netzwerktechnologie bitten, die mit unseren Systemen kompatibel ist. Unser Team fokussiert sich auf die Optimierung der Datenanalyse, Handelsmodelle und Berichterstattung in unserer quantitativen Finanzumgebung. Daher sind präzise Hardware-Integrationsinformationen essenziell, um unsere Ziele effizient zu erreichen. Besonders interessiert bin ich an technischen Fähigkeiten, Leistungsparametern sowie Kompatibilitätsaspekten der empfohlenen Netzwerktechnik. Diese umfasst, aber beschränkt sich nicht nur auf Router, Switches, Firewalls und andere relevante Hardwarekomponenten. Außerdem benötige ich detaillierte Anweisungen zur Integration.","anfrage zu netzwerkausrüstungsdetails sehr geehrtes kundenservice-team, ich hoffe, diese nachricht erreicht sie wohlauf. ich möchte um ausführliche produktspezifikationen und integrationsrichtlinien für die empfohlene netzwerktechnologie bitten, die mit unseren systemen kompatibel ist. unser team fokussiert sich auf die optimierung der datenanalyse, handelsmodelle und berichterstattung in unserer quantitativen finanzumgebung. daher sind präzise hardware-integrationsinformationen essenziell, um unsere ziele effizient zu erreichen. besonders interessiert bin ich an technischen fähigkeiten, leistungsparametern sowie kompatibilitätsaspekten der empfohlenen netzwerktechnik. diese umfasst, aber beschränkt sich nicht nur auf router, switches, firewalls und andere relevante hardwarekomponenten. außerdem benötige ich detaillierte anweisungen zur integration.",9c4f6d76148daa4031ef68d83f17f14acc8134f4,1,1,Request,Customer Service,de,861,95,0.15177242,0.77687865,0.071348935,holdout,1,1,1,0,2,1,1,1,local_case,False,True,False,False
