model,model_label,model_family,class_output,rank,feature_index,feature_name,feature_label,feature_group,mean_abs_shap,share_of_total_abs_shap
logistic_regression,Logistic Regression,linear_baseline,low,1,15015,categorical__queue_Technical Support,Technical Support,queue,0.390775591135025,0.03840044513344765
logistic_regression,Logistic Regression,linear_baseline,low,2,15010,categorical__queue_IT Support,IT Support,queue,0.2459334284067154,0.024167204275727272
logistic_regression,Logistic Regression,linear_baseline,low,3,15001,categorical__type_Incident,Incident,type,0.1373535692691803,0.013497358188033104
logistic_regression,Logistic Regression,linear_baseline,low,4,15003,categorical__type_Request,Request,type,0.13256199657917023,0.013026503846049309
logistic_regression,Logistic Regression,linear_baseline,low,5,15011,categorical__queue_Product Support,Product Support,queue,0.08456689119338989,0.008310156874358654
logistic_regression,Logistic Regression,linear_baseline,low,6,15007,categorical__queue_Customer Service,Customer Service,queue,0.06943861395120621,0.006823542062193155
logistic_regression,Logistic Regression,linear_baseline,low,7,15006,categorical__queue_Billing and Payments,Billing and Payments,queue,0.05176963284611702,0.005087259691208601
logistic_regression,Logistic Regression,linear_baseline,low,8,15008,categorical__queue_General Inquiry,General Inquiry,queue,0.04600042104721069,0.0045203352347016335
logistic_regression,Logistic Regression,linear_baseline,low,9,15002,categorical__type_Problem,Problem,type,0.044659148901700974,0.004388532135635614
logistic_regression,Logistic Regression,linear_baseline,low,10,11145,text__word__would,would,text,0.03509732708334923,0.0034489179961383343
logistic_regression,Logistic Regression,linear_baseline,low,11,15000,categorical__type_Change,Change,type,0.03242121636867523,0.0031859439332038164
logistic_regression,Logistic Regression,linear_baseline,low,12,15012,categorical__queue_Returns and Exchanges,Returns and Exchanges,queue,0.03236044943332672,0.0031799725256860256
logistic_regression,Logistic Regression,linear_baseline,low,13,2023,text__word__could,could,text,0.03208159655332565,0.003152570454403758
logistic_regression,Logistic Regression,linear_baseline,low,14,2189,text__word__customer,customer,text,0.03201516345143318,0.003146042348816991
logistic_regression,Logistic Regression,linear_baseline,low,15,15005,categorical__language_en,en,language,0.031060758978128433,0.003052255604416132
logistic_regression,Logistic Regression,linear_baseline,low,16,15009,categorical__queue_Human Resources,Human Resources,queue,0.02642427198588848,0.0025966407265514135
logistic_regression,Logistic Regression,linear_baseline,low,17,15004,categorical__language_de,de,language,0.024654245004057884,0.0024227050598710775
logistic_regression,Logistic Regression,linear_baseline,low,18,15014,categorical__queue_Service Outages and Maintenance,Service Outages and Maintenance,queue,0.02454255148768425,0.0024117291904985905
logistic_regression,Logistic Regression,linear_baseline,low,19,1957,text__word__content,content,text,0.024256853386759758,0.002383654471486807
logistic_regression,Logistic Regression,linear_baseline,low,20,12401,text__char__dic,[char] dic,text,0.0234136413782835,0.0023007942363619804
logistic_regression,Logistic Regression,linear_baseline,low,21,13509,text__char__mpa,[char] mpa,text,0.02255723439157009,0.0022166376002132893
logistic_regression,Logistic Regression,linear_baseline,low,22,15013,categorical__queue_Sales and Pre-Sales,Sales and Pre-Sales,queue,0.021666867658495903,0.0021291435696184635
logistic_regression,Logistic Regression,linear_baseline,low,23,1335,text__word__brand growth,brand growth,text,0.020779352635145187,0.0020419300999492407
logistic_regression,Logistic Regression,linear_baseline,low,24,14439,text__char__sta,[char] sta,text,0.02020975761115551,0.0019859573803842068
logistic_regression,Logistic Regression,linear_baseline,low,25,13072,text__char__ies ,[char] ies ,text,0.019701741635799408,0.0019360361620783806
logistic_regression,Logistic Regression,linear_baseline,low,26,13785,text__char__one,[char] one,text,0.019405608996748924,0.0019069359404966235
logistic_regression,Logistic Regression,linear_baseline,low,27,4630,text__word__information,information,text,0.018539972603321075,0.0018218723125755787
logistic_regression,Logistic Regression,linear_baseline,low,28,14564,text__char__tent,[char] tent,text,0.01831158623099327,0.0017994293011724949
logistic_regression,Logistic Regression,linear_baseline,low,29,6591,text__word__online,online,text,0.018108705058693886,0.0017794928280636668
logistic_regression,Logistic Regression,linear_baseline,low,30,12581,text__char__em ,[char] em ,text,0.01700197160243988,0.001670737168751657
logistic_regression,Logistic Regression,linear_baseline,low,31,14056,text__char__rate,[char] rate,text,0.01678985171020031,0.0016498926561325788
logistic_regression,Logistic Regression,linear_baseline,low,32,13855,text__char__ou ,[char] ou ,text,0.0167186688631773,0.0016428977251052856
logistic_regression,Logistic Regression,linear_baseline,low,33,14939,text__char__you ,[char] you ,text,0.0167186688631773,0.0016428977251052856
logistic_regression,Logistic Regression,linear_baseline,low,34,11769,text__char__ you ,[char]  you ,text,0.0167186688631773,0.0016428977251052856
logistic_regression,Logistic Regression,linear_baseline,low,35,8382,text__word__saas,saas,text,0.016689922660589218,0.001640072907321155
logistic_regression,Logistic Regression,linear_baseline,low,36,12325,text__char__cti,[char] cti,text,0.01630690135061741,0.0016024344367906451
logistic_regression,Logistic Regression,linear_baseline,low,37,12118,text__char__bee,[char] bee,text,0.015971731394529343,0.0015694982139393687
logistic_regression,Logistic Regression,linear_baseline,low,38,13045,text__char__ice ,[char] ice ,text,0.01587178185582161,0.0015596764860674739
logistic_regression,Logistic Regression,linear_baseline,low,39,872,text__word__audience,audience,text,0.015647277235984802,0.001537614967674017
logistic_regression,Logistic Regression,linear_baseline,low,40,11317,text__char__ a ,[char]  a ,text,0.015520728193223476,0.001525179366581142
logistic_regression,Logistic Regression,linear_baseline,low,41,12308,text__char__cre,[char] cre,text,0.015391920693218708,0.0015125218778848648
logistic_regression,Logistic Regression,linear_baseline,low,42,13923,text__char__per,[char] per,text,0.014906181953847408,0.0014647896168753505
logistic_regression,Logistic Regression,linear_baseline,low,43,13517,text__char__mpt,[char] mpt,text,0.014646835625171661,0.0014393043238669634
logistic_regression,Logistic Regression,linear_baseline,low,44,10999,text__word__website,website,text,0.014542734250426292,0.0014290745602920651
logistic_regression,Logistic Regression,linear_baseline,low,45,11872,text__char__ache ,[char] ache ,text,0.014427137561142445,0.0014177152188494802
logistic_regression,Logistic Regression,linear_baseline,low,46,4689,text__word__informationen,informationen,text,0.014405783265829086,0.0014156168326735497
logistic_regression,Logistic Regression,linear_baseline,low,47,5787,text__word__look forward,look forward,text,0.014115450903773308,0.001387086696922779
logistic_regression,Logistic Regression,linear_baseline,low,48,1458,text__word__campaigns,campaigns,text,0.0140104154124856,0.0013767650816589594
logistic_regression,Logistic Regression,linear_baseline,low,49,13577,text__char__nfor,[char] nfor,text,0.013901433907449245,0.001366055803373456
logistic_regression,Logistic Regression,linear_baseline,low,50,6390,text__word__network,network,text,0.013600747101008892,0.0013365080812945962
logistic_regression,Logistic Regression,linear_baseline,medium,1,15015,categorical__queue_Technical Support,Technical Support,queue,0.08053848892450333,0.010069658979773521
logistic_regression,Logistic Regression,linear_baseline,medium,2,15004,categorical__language_de,de,language,0.07457569986581802,0.009324136190116405
logistic_regression,Logistic Regression,linear_baseline,medium,3,15001,categorical__type_Incident,Incident,type,0.07303595542907715,0.009131623432040215
logistic_regression,Logistic Regression,linear_baseline,medium,4,15011,categorical__queue_Product Support,Product Support,queue,0.05831136181950569,0.007290620356798172
logistic_regression,Logistic Regression,linear_baseline,medium,5,15010,categorical__queue_IT Support,IT Support,queue,0.056884728372097015,0.00711224926635623
logistic_regression,Logistic Regression,linear_baseline,medium,6,15014,categorical__queue_Service Outages and Maintenance,Service Outages and Maintenance,queue,0.04968968778848648,0.0062126596458256245
logistic_regression,Logistic Regression,linear_baseline,medium,7,15002,categorical__type_Problem,Problem,type,0.03473443165421486,0.004342816770076752
logistic_regression,Logistic Regression,linear_baseline,medium,8,15006,categorical__queue_Billing and Payments,Billing and Payments,queue,0.02751046232879162,0.00343960989266634
logistic_regression,Logistic Regression,linear_baseline,medium,9,15007,categorical__queue_Customer Service,Customer Service,queue,0.023065192624926567,0.0028838214930146933
logistic_regression,Logistic Regression,linear_baseline,medium,10,1927,text__word__connectivity,connectivity,text,0.021532149985432625,0.002692146459594369
logistic_regression,Logistic Regression,linear_baseline,medium,11,12581,text__char__em ,[char] em ,text,0.021435284987092018,0.0026800355408340693
logistic_regression,Logistic Regression,linear_baseline,medium,12,15005,categorical__language_en,en,language,0.02130153588950634,0.0026633129455149174
logistic_regression,Logistic Regression,linear_baseline,medium,13,9329,text__word__strategies,strategies,text,0.019759606570005417,0.0024705268442630768
logistic_regression,Logistic Regression,linear_baseline,medium,14,8641,text__word__seo,seo,text,0.01941044256091118,0.0024268710985779762
logistic_regression,Logistic Regression,linear_baseline,medium,15,114,text__word__access logs,access logs,text,0.01808871328830719,0.0022616165224462748
logistic_regression,Logistic Regression,linear_baseline,medium,16,13071,text__char__ies,[char] ies,text,0.0176547784358263,0.0022073620930314064
logistic_regression,Logistic Regression,linear_baseline,medium,17,7513,text__word__project,project,text,0.016425667330622673,0.00205368734896183
logistic_regression,Logistic Regression,linear_baseline,medium,18,13785,text__char__one,[char] one,text,0.016070643439888954,0.002009298885241151
logistic_regression,Logistic Regression,linear_baseline,medium,19,12755,text__char__eve,[char] eve,text,0.01565215364098549,0.0019569755531847477
logistic_regression,Logistic Regression,linear_baseline,medium,20,14353,text__char__serv,[char] serv,text,0.015317611396312714,0.0019151479937136173
logistic_regression,Logistic Regression,linear_baseline,medium,21,13509,text__char__mpa,[char] mpa,text,0.01526673510670662,0.0019087869441136718
logistic_regression,Logistic Regression,linear_baseline,medium,22,12912,text__char__grati,[char] grati,text,0.015039831399917603,0.0018804173450917006
logistic_regression,Logistic Regression,linear_baseline,medium,23,6390,text__word__network,network,text,0.015000840649008751,0.0018755424534901977
logistic_regression,Logistic Regression,linear_baseline,medium,24,13439,text__char__mat,[char] mat,text,0.014700929634273052,0.0018380448454990983
logistic_regression,Logistic Regression,linear_baseline,medium,25,409,text__word__aktualisieren,aktualisieren,text,0.014187898486852646,0.0017739009344950318
logistic_regression,Logistic Regression,linear_baseline,medium,26,8688,text__word__service,service,text,0.01385524868965149,0.0017323100473731756
logistic_regression,Logistic Regression,linear_baseline,medium,27,11710,text__char__ sy,[char]  sy,text,0.01338693592697382,0.0016737572150304914
logistic_regression,Logistic Regression,linear_baseline,medium,28,9621,text__word__system,system,text,0.013385836035013199,0.0016736197285354137
logistic_regression,Logistic Regression,linear_baseline,medium,29,1957,text__word__content,content,text,0.013206754811108112,0.0016512293368577957
logistic_regression,Logistic Regression,linear_baseline,medium,30,3511,text__word__experiencing crashes,experiencing crashes,text,0.01314597763121128,0.0016436304431408644
logistic_regression,Logistic Regression,linear_baseline,medium,31,5704,text__word__likely,likely,text,0.012992926873266697,0.001624494674615562
logistic_regression,Logistic Regression,linear_baseline,medium,32,1041,text__word__beeinträchtigen,beeinträchtigen,text,0.012502939440310001,0.0015632319264113903
logistic_regression,Logistic Regression,linear_baseline,medium,33,12697,text__char__erv,[char] erv,text,0.012282933108508587,0.001535724732093513
logistic_regression,Logistic Regression,linear_baseline,medium,34,3000,text__word__due outdated,due outdated,text,0.012055464088916779,0.0015072844689711928
logistic_regression,Logistic Regression,linear_baseline,medium,35,8382,text__word__saas,saas,text,0.011852833442389965,0.001481949700973928
logistic_regression,Logistic Regression,linear_baseline,medium,36,10230,text__word__unauthorized,unauthorized,text,0.011785400100052357,0.0014735185541212559
logistic_regression,Logistic Regression,linear_baseline,medium,37,8659,text__word__server overload,server overload,text,0.011663262732326984,0.0014582478906959295
logistic_regression,Logistic Regression,linear_baseline,medium,38,11028,text__word__weiterhin,weiterhin,text,0.011291176080703735,0.0014117262326180935
logistic_regression,Logistic Regression,linear_baseline,medium,39,14512,text__char__tai,[char] tai,text,0.011199777014553547,0.001400298671796918
logistic_regression,Logistic Regression,linear_baseline,medium,40,7526,text__word__project management,project management,text,0.011063957586884499,0.0013833172852173448
logistic_regression,Logistic Regression,linear_baseline,medium,41,14068,text__char__rd ,[char] rd ,text,0.01098250225186348,0.001373132923617959
logistic_regression,Logistic Regression,linear_baseline,medium,42,14640,text__char__trat,[char] trat,text,0.010927952826023102,0.001366312731988728
logistic_regression,Logistic Regression,linear_baseline,medium,43,12324,text__char__cted ,[char] cted ,text,0.010879871435463428,0.001360301161184907
logistic_regression,Logistic Regression,linear_baseline,medium,44,6094,text__word__meeting expectations,meeting expectations,text,0.010791467502713203,0.0013492479920387268
logistic_regression,Logistic Regression,linear_baseline,medium,45,11504,text__char__ i ,[char]  i ,text,0.010776367038488388,0.0013473600847646594
logistic_regression,Logistic Regression,linear_baseline,medium,46,10454,text__word__updates,updates,text,0.010702543891966343,0.001338129979558289
logistic_regression,Logistic Regression,linear_baseline,medium,47,12401,text__char__dic,[char] dic,text,0.01034019235521555,0.0012928254436701536
logistic_regression,Logistic Regression,linear_baseline,medium,48,1458,text__word__campaigns,campaigns,text,0.010217558592557907,0.0012774927308782935
logistic_regression,Logistic Regression,linear_baseline,medium,49,14542,text__char__teg,[char] teg,text,0.010134585201740265,0.0012671186123043299
logistic_regression,Logistic Regression,linear_baseline,medium,50,7633,text__word__provide details,provide details,text,0.01009065005928278,0.0012616254389286041
logistic_regression,Logistic Regression,linear_baseline,high,1,15015,categorical__queue_Technical Support,Technical Support,queue,0.47145888209342957,0.04799534007906914
logistic_regression,Logistic Regression,linear_baseline,high,2,15001,categorical__type_Incident,Incident,type,0.20999011397361755,0.021377362310886383
logistic_regression,Logistic Regression,linear_baseline,high,3,15010,categorical__queue_IT Support,IT Support,queue,0.18907766044139862,0.019248437136411667
logistic_regression,Logistic Regression,linear_baseline,high,4,15003,categorical__type_Request,Request,type,0.1354597806930542,0.013790043070912361
logistic_regression,Logistic Regression,linear_baseline,high,5,15007,categorical__queue_Customer Service,Customer Service,queue,0.09256145358085632,0.009422918781638145
logistic_regression,Logistic Regression,linear_baseline,high,6,15002,categorical__type_Problem,Problem,type,0.07934140413999557,0.008077094331383705
