case_id,case_type,model,model_label,model_family,modeling_row_id,semantic_group_id,actual_class,predicted_class,direction,rank,feature_index,feature_name,feature_label,feature_group,feature_value,shap_value,abs_shap_value
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,1,3273,text__word__environment could,environment could,text,0.1500382274389267,0.2866050899028778,0.2866050899028778
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,2,4646,text__word__information essential,information essential,text,0.16167062520980835,0.26640498638153076,0.26640498638153076
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,3,15007,categorical__queue_Customer Service,Customer Service,queue,1.0,0.2403220683336258,0.2403220683336258
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,4,6624,text__word__optimal,optimal,text,0.12103673815727234,0.23295781016349792,0.23295781016349792
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,5,4246,text__word__hope message,hope message,text,0.10803131759166718,0.20695824921131134,0.20695824921131134
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,6,2186,text__word__currently use,currently use,text,0.1597435623407364,0.1800401508808136,0.1800401508808136
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,7,10599,text__word__use,use,text,0.09482020884752274,0.06825011968612671,0.06825011968612671
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,8,11599,text__char__ oper,[char]  oper,text,0.0569751039147377,0.06439953297376633,0.06439953297376633
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,9,9175,text__word__specifications,specifications,text,0.12791001796722412,0.06279298663139343,0.06279298663139343
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,supports_prediction,10,13819,text__char__opera,[char] opera,text,0.056204043328762054,0.0525243915617466,0.0525243915617466
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,1,9632,text__word__system compatibility,system compatibility,text,0.14617334306240082,-0.2636721730232239,0.2636721730232239
case_01,unanimous_correct_low,logistic_regression,Logistic Regression,linear_baseline,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,low,opposes_prediction,2,15003,categorical__type_Request,Request,type,1.0,-0.25599104166030884,0.25599104166030884
