modeling_row_id,semantic_group_id,priority,priority_encoded,analysis_role,is_global_h2_case,is_faithfulness_case,is_xgboost_sensitivity_case,is_local_case,case_id,case_type,type,language,queue,sentiment_negative,sentiment_neutral,sentiment_positive,text,text_clean,pred_logistic_regression,pred_linear_svm,pred_complement_naive_bayes,pred_knn_cosine,pred_random_forest,pred_xgboost,pred_lightgbm,pred_final_model
897,92c708b9ebbccf353f22c1e3951000f0e2d5ae1b,high,2,global_h2,True,False,False,False,,,Incident,en,IT Support,0.78352,0.18963185,0.026848186,"System Failures Disrupt Digital Tools The marketing office experienced system outages that affected critical digital tools, likely due to network conflicts or software incompatibilities. Initial troubleshooting steps included restarting devices and updating software; however, the issues persist. Assistance is needed to resolve the problem.","system failures disrupt digital tools the marketing office experienced system outages that affected critical digital tools, likely due to network conflicts or software incompatibilities. initial troubleshooting steps included restarting devices and updating software; however, the issues persist. assistance is needed to resolve the problem.",2,2,2,2,2,2,2,2
1287,772befff6c00e54a361736132c9ff2eb7b09579a,high,2,global_h2,True,False,False,False,,,Request,en,Billing and Payments,0.056422345,0.5553952,0.3881825,"Support Inquiry from Customer Dear Customer Support Team, I am reaching out to request detailed information regarding billing and payment options for integrating Redis 6.2 with a PHP 8.0 SaaS platform. We are interested in exploring ways to leverage these technologies to enhance our platform's performance and scalability. Could you please share details about the available pricing plans and payment methods? We would also appreciate guidance on how to initiate the integration process. Additionally, please inform us of any special considerations or offers.","support inquiry from customer dear customer support team, i am reaching out to request detailed information regarding billing and payment options for integrating redis 6.2 with a php 8.0 saas platform. we are interested in exploring ways to leverage these technologies to enhance our platform's performance and scalability. could you please share details about the available pricing plans and payment methods? we would also appreciate guidance on how to initiate the integration process. additionally, please inform us of any special considerations or offers.",2,2,0,2,1,1,1,1
1584,d5ba2648930b9594f01559429f34ce16707dfd7b,high,2,global_h2,True,False,False,False,,,Request,de,IT Support,0.26890734,0.33447,0.3966227,"GitLab Support Sehr geehrter Kundenservice, ich möchte mich erkundigen, ob GitLab Express.js 4.17 integriert werden kann, um die Workflows im digitalen Marketing zu verbessern. Derzeit verwenden wir GitLab zur Versionskontrolle unserer Express.js-Webanwendung. Allerdings stoßen wir auf Herausforderungen bei der Optimierung unserer Workflows und benötigen Anleitung sowie geeignete Tools für eine effektive Integration. Könnten Sie bitte die entsprechenden Dokumentationen und Ressourcen bereitstellen, um die Integration zu erleichtern? Unser Ziel ist es, die Workflow-Effizienz zu steigern und manuelle Fehler zu minimieren. Für Unterstützung und Anleitung wären wir sehr dankbar. Vielen Dank im Voraus für Ihre Zeit und Unterstützung.","gitlab support sehr geehrter kundenservice, ich möchte mich erkundigen, ob gitlab express.js 4.17 integriert werden kann, um die workflows im digitalen marketing zu verbessern. derzeit verwenden wir gitlab zur versionskontrolle unserer express.js-webanwendung. allerdings stoßen wir auf herausforderungen bei der optimierung unserer workflows und benötigen anleitung sowie geeignete tools für eine effektive integration. könnten sie bitte die entsprechenden dokumentationen und ressourcen bereitstellen, um die integration zu erleichtern? unser ziel ist es, die workflow-effizienz zu steigern und manuelle fehler zu minimieren. für unterstützung und anleitung wären wir sehr dankbar. vielen dank im voraus für ihre zeit und unterstützung.",1,1,1,1,1,1,1,1
1882,33b6fcd7059a35086e05a1647c8b5944be0e58d5,high,2,global_h2,True,False,False,False,,,Incident,en,Technical Support,0.3716826,0.4144584,0.213859,"Problems with Digital Strategy Tools Reporting ongoing performance issues with the marketing agency's digital strategy tools, such as Maple and Figma. Despite attempts to resolve by restarting systems, updating software, and verifying hardware connections, the problem persists, hindering brand development initiatives. The suspected cause may involve software conflicts or hardware compatibility issues impacting multiple campaign-related products. We would be grateful if you could investigate this matter and provide a solution promptly to help us restore our workflow.","problems with digital strategy tools reporting ongoing performance issues with the marketing agency's digital strategy tools, such as maple and figma. despite attempts to resolve by restarting systems, updating software, and verifying hardware connections, the problem persists, hindering brand development initiatives. the suspected cause may involve software conflicts or hardware compatibility issues impacting multiple campaign-related products. we would be grateful if you could investigate this matter and provide a solution promptly to help us restore our workflow.",2,2,2,1,2,2,2,2
2130,5e820b172b374036ac1e63030208cfef7a85d93d,high,2,global_h2,True,True,False,False,,,Problem,de,IT Support,0.7613929,0.21538389,0.023223246,"Bitte melden Sie das Problem im System des Gesundheitsdienstleisters. Es gibt Schwierigkeiten beim Datenzugriff und Systemverlangsamungen, insbesondere bei den medizinischen Aufzeichnungen. Das Problem begann kürzlich nach einem Adobe CC-Update, das möglicherweise die Ursache ist. Es wurden Versuche unternommen, die Systeme neu zu starten, Updates zurückzusetzen und die Netzstabilität zu prüfen, leider wurde das Problem dadurch nicht behoben. Wir bitten um Unterstützung, um die schnelle Behebung des Problems zu gewährleisten.","bitte melden sie das problem im system des gesundheitsdienstleisters. es gibt schwierigkeiten beim datenzugriff und systemverlangsamungen, insbesondere bei den medizinischen aufzeichnungen. das problem begann kürzlich nach einem adobe cc-update, das möglicherweise die ursache ist. es wurden versuche unternommen, die systeme neu zu starten, updates zurückzusetzen und die netzstabilität zu prüfen, leider wurde das problem dadurch nicht behoben. wir bitten um unterstützung, um die schnelle behebung des problems zu gewährleisten.",1,1,2,1,2,2,1,1
2210,c6c655f0af6e9cee58ae63b6b7828069d2aeb3fb,high,2,global_h2,True,False,False,False,,,Problem,en,Technical Support,0.67533565,0.27943003,0.04523427,"Security Warning: Data Breach Incident Preparing a report regarding a possible data breach at a healthcare organization. Medical records might have been compromised due to outdated security updates. Attempted to update the firewall and run antivirus scans, but these actions did not resolve the issue. Concerned about the potential impact of the breach and seeking help to identify the vulnerability and apply effective safeguards. Could you please advise on the next steps? Your prompt response is appreciated as this matter is urgent.","security warning: data breach incident preparing a report regarding a possible data breach at a healthcare organization. medical records might have been compromised due to outdated security updates. attempted to update the firewall and run antivirus scans, but these actions did not resolve the issue. concerned about the potential impact of the breach and seeking help to identify the vulnerability and apply effective safeguards. could you please advise on the next steps? your prompt response is appreciated as this matter is urgent.",2,1,2,2,2,2,1,1
3021,007e7a7e3baf87923d44035342f10d7e9f0101ce,high,2,global_h2,True,False,True,False,,,Incident,en,IT Support,0.8341291,0.14273654,0.023134394,"Website Performance Issue Today Dear Customer Service, due to digital strategies implemented by our marketing agency, we are experiencing issues with our website. The site is sluggish and products are not easily accessible. We have attempted to restart the server and clear caches, but the problem persists. We suspect server overload or misconfiguration. Kindly assist us in resolving this issue as swiftly as possible.","website performance issue today dear customer service, due to digital strategies implemented by our marketing agency, we are experiencing issues with our website. the site is sluggish and products are not easily accessible. we have attempted to restart the server and clear caches, but the problem persists. we suspect server overload or misconfiguration. kindly assist us in resolving this issue as swiftly as possible.",1,1,2,2,2,1,2,2
3197,1123078cf7504a576f49f7faabd01bcf77c939c5,high,2,global_h2,True,False,False,False,,,Incident,en,IT Support,0.41403905,0.43218544,0.15377551,"Multiple hospital system applications, such as Speicherkartenleser, WhatsApp Desktop, and network switches, experienced inaccessibility and malfunction, potentially leading to a security breach and network failure. Initial troubleshooting steps included rebooting systems, performing network diagnostics, and running security scans. Since the issue persists, urgent escalation is required. An investigation is necessary to identify the root cause and implement an appropriate solution. Your guidance and support in resolving this issue would be highly appreciated.","multiple hospital system applications, such as speicherkartenleser, whatsapp desktop, and network switches, experienced inaccessibility and malfunction, potentially leading to a security breach and network failure. initial troubleshooting steps included rebooting systems, performing network diagnostics, and running security scans. since the issue persists, urgent escalation is required. an investigation is necessary to identify the root cause and implement an appropriate solution. your guidance and support in resolving this issue would be highly appreciated.",2,2,2,1,2,2,2,2
3263,81a12e8c75bc2cda75add63985e6a4e799b48a1c,high,2,global_h2,True,True,False,False,,,Problem,en,IT Support,0.5730773,0.36428142,0.0626413,"Assistance Required for Digital Strategy Assistance Problems with Airtable, IBM Cloud, and Google Keep are interfering with our digital strategy processes. The issues may be due to recent updates or integration complications. Attempts to fix the problems have been made but were unsuccessful. We require help to troubleshoot and restore our workflows to normal.","assistance required for digital strategy assistance problems with airtable, ibm cloud, and google keep are interfering with our digital strategy processes. the issues may be due to recent updates or integration complications. attempts to fix the problems have been made but were unsuccessful. we require help to troubleshoot and restore our workflows to normal.",2,2,2,2,2,2,2,2
3430,b0db519a5696e31db206496a78b6789f360839ab,high,2,global_h2,True,False,False,False,,,Problem,de,IT Support,0.5140377,0.44864535,0.03731694,"Regelmäßige Abstürze des Projektmanagement SaaS Das Projektmanagement SaaS erlebt während Stoßzeiten wiederholte Abstürze, vermutlich aufgrund von Serverüberlastung. Durch einen Neustart der Server und eine Erhöhung der Ressourcenallokation konnte das Problem behoben werden. Wir bitten dringend um IT-Unterstützung, um Skalierbarkeits- und Stabilitätsprobleme zu beheben und weitere Unterbrechungen im Arbeitsablauf zu verhindern. Die Abstürze führen zu erheblichen Verzögerungen und beeinträchtigen die Produktivität. Wir würden eine zeitnahe Prüfung unseres Anliegens begrüßen und eine Lösung zur Vermeidung zukünftiger Vorfälle bereitstellen.","regelmäßige abstürze des projektmanagement saas das projektmanagement saas erlebt während stoßzeiten wiederholte abstürze, vermutlich aufgrund von serverüberlastung. durch einen neustart der server und eine erhöhung der ressourcenallokation konnte das problem behoben werden. wir bitten dringend um it-unterstützung, um skalierbarkeits- und stabilitätsprobleme zu beheben und weitere unterbrechungen im arbeitsablauf zu verhindern. die abstürze führen zu erheblichen verzögerungen und beeinträchtigen die produktivität. wir würden eine zeitnahe prüfung unseres anliegens begrüßen und eine lösung zur vermeidung zukünftiger vorfälle bereitstellen.",2,2,2,2,2,2,2,2
