case_id,case_type,modeling_row_id,semantic_group_id,priority,type,language,queue,text,model,model_label,model_family,predicted_class,correct,top_10_share,k_80,normalized_entropy,top_supporting_features,top_opposing_features,text_relation,urgency_plausibility,impact_plausibility,context_relevance,contradictory_signals,overall_rating,brief_rationale,evaluator_role
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",logistic_regression,Logistic Regression,linear_baseline,low,True,0.225405650782443,648,0.661845291917959,environment could | information essential | Customer Service | optimal | hope message,system compatibility | Request | technical specifications | additionally would | currently,plausible,plausible,plausible,partly plausible,partly plausible,plausible,"Die stützenden Merkmale (environment could, information essential, Customer Service) beziehen sich nachvollziehbar auf eine routinemäßige Kompatibilitäts- und Informationsanfrage. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Die Gegenmerkmale (system compatibility, Request, technical specifications) sind nur teilweise als echte Gegensignale interpretierbar.",author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",linear_svm,Linear SVM,linear,low,True,0.2324460866522878,648,0.6612262665049942,environment could | optimal | information essential | Customer Service | currently use,Request | system compatibility | technical specifications | additionally would | currently,plausible,plausible,plausible,partly plausible,partly plausible,plausible,"Die stützenden Merkmale (environment could, optimal, information essential) beziehen sich nachvollziehbar auf eine routinemäßige Kompatibilitäts- und Informationsanfrage. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Die Gegenmerkmale (Request, system compatibility, technical specifications) sind nur teilweise als echte Gegensignale interpretierbar.",author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",complement_naive_bayes,Complement Naive Bayes,naive_bayes,low,True,0.16168403458061,1049,0.7035758938510921,Customer Service | Request | information essential | currently use | aware additionally,,plausible,plausible,plausible,plausible,partly plausible,plausible,"Die stützenden Merkmale (Customer Service, Request, information essential) beziehen sich nachvollziehbar auf eine routinemäßige Kompatibilitäts- und Informationsanfrage. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Explizite Gegenmerkmale fehlen, sodass die Gegenrichtung qualitativ nur eingeschränkt beurteilt werden kann.",author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",knn_cosine,kNN (cosine),instance_based,low,True,0.3496430107374149,82,0.4847245582236953,Customer Service | information essential | en | [char] ical  | environment could,use | information | [char] oul | [char] uld | could,plausible,plausible,plausible,plausible,partly plausible,plausible,"Die stützenden Merkmale (Customer Service, information essential, en) beziehen sich nachvollziehbar auf eine routinemäßige Kompatibilitäts- und Informationsanfrage. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Die Gegenmerkmale (use, information, [char] oul) sind nur teilweise als echte Gegensignale interpretierbar.",author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",random_forest,Random Forest,bagging_ensemble,low,True,0.146197665153706,414,0.6572614527038588,Customer Service | [char] ils | [char] ntl | [char] hare  | [char] deta,[char] erl | [char] yste | [char] yst | [char] chi | [char] latf,not plausible,plausible,plausible,plausible,not plausible,partly plausible,Die Erklärung stützt sich stark auf schwer interpretierbare Zeichen-n-Gramme und bildet eine routinemäßige Kompatibilitäts- und Informationsanfrage daher nur schwach nachvollziehbar ab. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Die Gegenmerkmale bestehen überwiegend aus Zeichen-n-Grammen und sind fachlich kaum interpretierbar.,author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",xgboost,XGBoost,gradient_boosting,low,True,0.3424600286626575,92,0.5127398573171502,Customer Service | [char] chni | share | [char] hare | [char]  on ,[char] tfo | [char]  plat | [char] atf | [char] mme | [char]  cou,partly plausible,plausible,plausible,plausible,not plausible,partly plausible,"Die stützenden Merkmale greifen Teile von eine routinemäßige Kompatibilitäts- und Informationsanfrage auf, sind aber teilweise generisch oder nur begrenzt semantisch eindeutig. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Die Gegenmerkmale bestehen überwiegend aus Zeichen-n-Grammen und sind fachlich kaum interpretierbar.",author
case_01,unanimous_correct_low,753,15f7e749ff1aa7e7800283d66efd3a71acbcd8d0,low,Request,en,Customer Service,"System Compatibility Inquiry Dear Support Team, I hope this message finds you well. I am reaching out to request comprehensive details about the compatibility of a specific product with various devices and operating systems currently in use. This information is essential to confirm that the product will operate properly within the existing environment. Could you please share the technical specifications, supported platforms, and any limitations we should be aware of? Additionally, I would appreciate guidance on recommended configurations or updates needed for optimal compatibility. Your prompt response would be greatly appreciated.",lightgbm,LightGBM,gradient_boosting,low,True,0.30957511106466,335,0.5974692000707559,Customer Service | optimal | [char]  sh | [char] hare | [char] mes,[char] tform | [char]  sys | [char] tfo | [char] plat | [char] per,partly plausible,plausible,plausible,plausible,not plausible,partly plausible,"Die stützenden Merkmale greifen Teile von eine routinemäßige Kompatibilitäts- und Informationsanfrage auf, sind aber teilweise generisch oder nur begrenzt semantisch eindeutig. Die vorhergesagte Priorität low ist hinsichtlich Dringlichkeit und Auswirkung inhaltlich gut nachvollziehbar. Die Gegenmerkmale bestehen überwiegend aus Zeichen-n-Grammen und sind fachlich kaum interpretierbar.",author
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,Request,en,Billing and Payments,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please",logistic_regression,Logistic Regression,linear_baseline,medium,True,0.2673664426396624,550,0.6409818818172491,industry would | details payment | additionally please | subscription | quickbooks,billing details | special | industry | timelines | interested understanding,plausible,partly plausible,plausible,partly plausible,partly plausible,partly plausible,"Die stützenden Merkmale (industry would, details payment, additionally please) beziehen sich nachvollziehbar auf eine detaillierte Anfrage zu Abrechnung, Preisen und Zahlungsoptionen. Die vorhergesagte Priorität medium ist nur teilweise durch konkrete Dringlichkeits- beziehungsweise Auswirkungssignale abgesichert. Der finanzielle Kontext ist relevant, es fehlen jedoch akute Störungs- oder Zeitsignale. Die Gegenmerkmale (billing details, special, industry) sind nur teilweise als echte Gegensignale interpretierbar.",author
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,Request,en,Billing and Payments,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please",linear_svm,Linear SVM,linear,medium,True,0.2683603398470855,527,0.6384201336670926,industry would | details payment | additionally please | subscription | Billing and Payments,billing details | special | industry | Request | online,plausible,partly plausible,plausible,partly plausible,partly plausible,partly plausible,"Die stützenden Merkmale (industry would, details payment, additionally please) beziehen sich nachvollziehbar auf eine detaillierte Anfrage zu Abrechnung, Preisen und Zahlungsoptionen. Die vorhergesagte Priorität medium ist nur teilweise durch konkrete Dringlichkeits- beziehungsweise Auswirkungssignale abgesichert. Der finanzielle Kontext ist relevant, es fehlen jedoch akute Störungs- oder Zeitsignale. Die Gegenmerkmale (billing details, special, industry) sind nur teilweise als echte Gegensignale interpretierbar.",author
case_02,unanimous_correct_medium,22,ee037e0444486ca7203bcbbbf5f4913dbc650aff,medium,Request,en,Billing and Payments,"Query Dear Customer Support Team, I hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours. Additionally, please",complement_naive_bayes,Complement Naive Bayes,naive_bayes,medium,True,0.1330222776634686,737,0.6895302523100012,Billing and Payments | Request | industry would | details payment | special,[char] ste,plausible,partly plausible,plausible,plausible,not plausible,partly plausible,"Die stützenden Merkmale (Billing and Payments, Request, industry would) beziehen sich nachvollziehbar auf eine detaillierte Anfrage zu Abrechnung, Preisen und Zahlungsoptionen. Die vorhergesagte Priorität medium ist nur teilweise durch konkrete Dringlichkeits- beziehungsweise Auswirkungssignale abgesichert. Der finanzielle Kontext ist relevant, es fehlen jedoch akute Störungs- oder Zeitsignale. Mehrere Gegenmerkmale ([char] ste) erscheinen fachlich eher stützend oder richtungsunklar.",author
